,NumContrato,Categoría,Division,Clientes,CodFamilias,Familia,NumServicio,CodComercials,CodAlmacen,Delegacion,Montaje,ImpFactAlquiler,CodActividad,NumAlbsDev,PesoDev,CantidadDev,PesoDevueltoEnContrato,PesoArtSumEnContrato,PesoSumEnContrato,PesoTotalDevPorFamilia,PtjeCatEnFam
0,130310,0,6,2225,11,ANDAMIOS BRIO                 ,1,579,81,8,1,6235.78,2,22,-1909.1999999999998,-228,1359.799999999999,801.8,43262.8,-41052.099999999984,4.650675604902065
1,130310,0,6,2225,11,ANDAMIOS BRIO                 ,1,579,501,8,1,6235.78,2,97,-39142.9,-5335,1359.799999999999,801.8,43262.8,-41052.099999999984,95.34932439509798
2,130310,1,6,2225,11,ANDAMIOS BRIO                 ,1,579,501,8,1,6235.78,2,7,-73.69999999999999,-8,1359.799999999999,801.8,43262.8,-73.7,99.99999999999997
3,130360,1,6,1951,11,ANDAMIOS BRIO                 ,2,553,11,8,1,43715.96000000006,2,1,-2.8,-1,7513.819999999968,5250.439999999991,136896.95999999996,-145.1,1.9297036526533424
4,130360,1,6,1951,11,ANDAMIOS BRIO                 ,4,553,11,8,1,43715.96000000006,2,5,-101.0,-12,7513.819999999968,5250.439999999991,136896.95999999996,-145.1,69.60716747070987
5,130360,1,6,1951,11,ANDAMIOS BRIO                 ,5,553,11,8,1,43715.96000000006,2,1,-30.6,-1,7513.819999999968,5250.439999999991,136896.95999999996,-145.1,21.088904203997245
6,130360,1,6,1951,11,ANDAMIOS BRIO                 ,6,553,11,8,1,43715.96000000006,2,1,-3.3,-1,7513.819999999968,5250.439999999991,136896.95999999996,-145.1,2.2742935906271535
7,130360,1,6,1951,11,ANDAMIOS BRIO                 ,8,553,11,8,1,43715.96000000006,2,1,-7.4,-1,7513.819999999968,5250.439999999991,136896.95999999996,-145.1,5.0999310820124055
8,130360,5,6,1951,11,ANDAMIOS BRIO                 ,3,553,11,8,1,43715.96000000006,2,1,-1.54,-7,7513.819999999968,5250.439999999991,136896.95999999996,-21.939999999999998,7.019143117593438
9,130360,5,6,1951,11,ANDAMIOS BRIO                 ,4,553,11,8,1,43715.96000000006,2,1,-20.4,-17,7513.819999999968,5250.439999999991,136896.95999999996,-21.939999999999998,92.98085688240657
10,130360,2,6,1951,11,ANDAMIOS BRIO                 ,4,553,11,8,1,43715.96000000006,2,4,-24.3,-4,7513.819999999968,5250.439999999991,136896.95999999996,-24.299999999999997,100.00000000000003
11,130360,4,6,1951,11,ANDAMIOS BRIO                 ,4,553,11,8,1,43715.96000000006,2,2,-68.0,-3,7513.819999999968,5250.439999999991,136896.95999999996,-68.0,100.0
12,130360,0,6,1951,11,ANDAMIOS BRIO                 ,1,553,11,8,1,43715.96000000006,2,27,-4553.8,-319,7513.819999999968,5250.439999999991,136896.95999999996,-100953.50000000003,4.510789620964106
13,130360,0,6,1951,11,ANDAMIOS BRIO                 ,2,553,11,8,1,43715.96000000006,2,75,-3801.6,-658,7513.819999999968,5250.439999999991,136896.95999999996,-100953.50000000003,3.765694106692684
14,130360,0,6,1951,11,ANDAMIOS BRIO                 ,3,553,11,8,1,43715.96000000006,2,1,-2.8,-4,7513.819999999968,5250.439999999991,136896.95999999996,-100953.50000000003,0.0027735541610741567
15,130360,0,6,1951,11,ANDAMIOS BRIO                 ,4,553,11,8,1,43715.96000000006,2,380,-79367.99999999997,-9339,7513.819999999968,5250.439999999991,136896.95999999996,-100953.50000000003,78.618373805762
16,130360,0,6,1951,11,ANDAMIOS BRIO                 ,5,553,11,8,1,43715.96000000006,2,83,-8170.099999999999,-941,7513.819999999968,5250.439999999991,136896.95999999996,-100953.50000000003,8.092933875497133
